Binol,Ligand,R,S
0,1033,62,38
0,1034,39,61
0,1171,44,56
0,1176,52,48
0,1182,36,64
0,1198,47,53
2,1033,86,14
2,1038,55,45
2,1069,35,65
2,1075,39,61
2,1171,39,61
2,1182,31,69
2,1204,60,40
3,1011,17,83
3,1098,47,53
18,1006,71,29
19,1019,2,98
19,1071,10,90
20,1004,76,24
20,1012,75,25
20,1027,77,23
20,1033,74,26
20,1041,52,48
20,1057,69,31
20,1070,43,57
20,1093,40,60
20,1159,39,61
20,1168,50,50
20,1172,54,46
20,1198,43,57
24,1052,29,71
24,1181,39,61
24,1187,43,57
25,1020,20,80
25,1187,36,64
29,1019,3,97
30,1187,38,62
35,1176,51,49
36,1034,42,58
36,1098,47,53
36,1176,56,44
44,1014,,
56,1195,21,79
57,1154,71,29
57,1174,8,92
62,1014,9,91
63,1009,99,1
122,1181,23,77
122,1184,81,29
122,1187,37,63
