Binol,Ligand,R,S
1,1090,62.0,38.0
1,1028,56.0,44.0
1,1099,48.0,52.0
1,1010,44.0,56.0
1,1108,44.0,56.0
1,1021,41.0,59.0
1,1017,49.0,51.0
1,1080,43.0,57.0
1,1081,56.0,44.0
41,1092,49.0,51.0
42,1118,39.0,61.0
42,1028,63.0,37.0
42,1021,45.0,55.0
42,1154,49.0,51.0
42,1017,49.0,51.0
42,1058,37.0,63.0
42,1121,54.0,46.0
16,1071,2.0,98.0
16,1068,5.0,95.0
51,1028,62.0,38.0
28,1071,16.0,84.0
55,1022,73.0,27.0
55,1050,82.0,18.0
63,1099,35.0,65.0
58,1120,3.0,97.0
56,1002,68.0,32.0
56,1006,55.0,45.0
56,1050,84.0,16.0
56,1026,48.0,52.0
56,1036,72.0,28.0
56,1037,,
56,1049,79.0,21.0
56,1070,55.0,45.0
56,1005,86.0,14.0
56,1121,66.0,34.0
56,1014,94.0,6.0
45,1049,50.0,50.0
46,1049,51.0,49.0
6,1050,73.0,27.0
6,1026,49.0,51.0
8,1048,41.0,59.0
9,1022,75.0,25.0
49,1092,30.0,70.0
10,1050,62.0,38.0
12,1048,18.0,82.0
2,1120,,
4,1022,93.0,7.0
54,1022,74.0,26.0
54,1099,21.0,79.0
54,1081,82.0,18.0
